time[sec],velocity[sec],angle[rad],x[m],y[m],,
4.89,13.18807,0.079996,0.311743,33.169678,-13057.730170724,
4.92,12.993743,0.086237,0.361221,33.557991,-13589.2396658041,
4.95,12.791506,0.093493,0.415825,33.938271,-13589.3068604305,
4.98,12.589268,0.100477,0.470427,34.318542,-13803.993691882,
5.01,12.383835,0.107432,0.532743,34.686363,-13829.1244821677,
5.04,12.178028,0.115046,0.600393,35.04538,-13829.191676794,
5.07,11.97222,0.122238,0.668043,35.404396,-13839.6068438911,
5.1,11.766257,0.129638,0.743256,35.75061,-13839.606843891,
5.13,11.560294,0.136758,0.818466,36.096832,-13842.4290182013,
5.16,11.354289,0.144438,0.902138,36.428177,-13619.4100530722,
5.19,11.151603,0.152488,0.990845,36.750206,-13619.4772476986,
5.22,10.948916,0.159798,1.079554,37.072243,-12199.251623424,
5.25,10.767365,0.16768,1.175367,37.381378,-12199.251623424,
5.28,10.585814,0.174775,1.271183,37.690521,-10583.8928039897,
5.31,10.428303,0.182576,1.374907,37.986282,-10583.9599986162,
5.34,10.270791,0.189567,1.478632,38.282043,-8865.7262061139,
5.37,10.13885,0.1972,1.590488,38.565254,-7872.5896274434,
5.4,10.021689,0.20474,1.707666,38.841064,-7872.522432817,
5.43,9.904529,0.211557,1.824844,39.116875,-6615.109388388,
5.46,9.806082,0.218637,1.949366,39.383163,-6615.1765830144,
5.49,9.707634,0.225024,2.073889,39.649452,-5293.1895025839,
5.52,9.62886,0.23167,2.206591,39.905952,-5293.1895025838,
5.55,9.550086,0.237663,2.339293,40.162445,-3935.7908540235,
5.58,9.491513,0.243797,2.480597,40.409554,-3935.7908540234,
5.61,9.43294,0.249332,2.621901,40.65667,-2731.3943698496,
5.64,9.392291,0.254849,2.772102,40.894928,-2731.3943698496,
5.67,9.351642,0.259813,2.922304,41.133186,-1396.5731157705,
5.7,9.330858,0.264589,3.081709,41.363129,-1396.505921144,
5.73,9.310075,0.268896,3.241116,41.593071,-250.7031512192,
5.76,9.306344,0.272831,3.410072,41.815163,-250.6359565927,
5.79,9.302614,0.276359,3.579029,42.037254,948.5193467194,
5.82,9.31673,0.279349,3.757893,42.251869,948.5193467194,
5.85,9.330846,0.28203,3.936758,42.466484,2129.9352686534,
5.88,9.362544,0.284,4.125948,42.673943,2130.0024632798,
5.91,9.394243,0.285768,4.31514,42.881401,3317.6674854721,
5.94,9.443617,0.286649,4.51512,43.081978,3317.6674854721,
5.97,9.492991,0.28745,4.715099,43.282555,3317.7346800985,
6,9.542366,0.287905,4.915079,43.483131,5595.9012946618,
6.03,9.625645,0.286941,5.131916,43.674011,5595.8341000353,
6.06,9.708923,0.286344,5.348753,43.864883,4686.1532473938,
6.09,9.778663,0.284541,5.577288,44.048981,4686.0860527674,
6.12,9.848402,0.279145,5.805824,44.233078,5505.188548978,
6.15,9.930331,0.273422,6.044426,44.410736,5567.5451623072,
6.18,10.013188,0.271035,6.290119,44.583809,5567.5451623073,
6.21,10.096045,0.268841,6.535812,44.756889,5591.8696170757,
6.24,10.179264,0.26579,6.791271,44.923317,5591.8696170757,
6.27,10.262483,0.262769,7.04673,45.089745,5598.7906635984,
6.3,10.345805,0.258938,7.312878,45.248436,5598.9250528511,
6.33,10.429129,0.255015,7.579025,45.407127,5600.0001668741,
6.36,10.512469,0.250422,7.855812,45.557587,5600.0001668741,
6.39,10.595809,0.245166,8.138699,45.703018,5600.0673615006,
6.42,10.67915,0.239732,8.421585,45.84845,5600.0001668741,
6.45,10.76249,0.234066,8.713009,45.986633,5600.0673615006,
6.48,10.845831,0.227724,9.004433,46.124817,5600.0673615004,
6.51,10.929172,0.22127,9.30489,46.255135,5600.0001668741,
6.54,11.012512,0.214324,9.605347,46.38546,5600.0001668742,
6.57,11.095852,0.207427,9.914577,46.507942,5600.0001668741,
6.6,11.179192,0.199859,10.229008,46.625671,5600.0001668741,
6.63,11.262532,0.192728,10.543438,46.743408,5600.0673615004,
6.66,11.345873,0.185894,10.86491,46.854591,5600.0673615006,
6.69,11.429214,0.179349,11.186382,46.965775,5599.9329722477,
6.72,11.512553,0.173025,11.515366,47.069832,5600.0673615004,
6.75,11.595894,0.166983,11.844349,47.173889,5600.0673615006,
6.78,11.679235,0.161127,12.180771,47.270714,5600.0673615004,
6.81,11.762576,0.155625,12.517197,47.367546,5600.0001668742,
6.84,11.845916,0.15029,12.86084,47.457184,5600.0001668741,
6.87,11.929256,0.145032,13.209007,47.542175,5600.0673615004,
6.9,12.012597,0.14037,13.557178,47.627167,5600.0001668741,
6.93,12.095937,0.135885,13.911289,47.705933,5600.0001668742,
6.96,12.179277,0.131884,14.2654,47.784691,5600.0673615004,
6.99,12.262618,0.12795,14.625881,47.85659,5600.0673615006,
7.02,12.345959,0.124492,14.986362,47.928497,5600.0001668741,
7.05,12.429299,0.121036,15.353245,47.993279,5600.0673615004,
7.08,12.51264,0.118059,15.720131,48.058067,5600.0673615006,
7.11,12.595981,0.115036,16.093307,48.115601,5600.0001668741,
7.14,12.679321,0.112486,16.466488,48.173126,5600.0001668741,
7.17,12.762661,0.109843,16.845806,48.223297,5600.0673615006,
7.2,12.846002,0.107695,17.225128,48.27346,5599.9329722477,
7.23,12.929341,0.105407,17.610432,48.316124,5600.0673615004,
7.26,13.012682,0.103399,17.999474,48.353874,5600.0673615006,
7.29,13.096023,0.101792,18.388515,48.391624,5600.0001668741,
7.32,13.179363,0.100028,18.782528,48.4226,5600.0673615004,
7.35,13.262704,0.098765,19.17654,48.453575,5600.0673615006,
7.38,13.346045,0.09727,19.575901,48.476921,5600.0001668741,
7.41,13.429385,0.096275,19.975262,48.500259,5600.0673615006,
7.44,13.512726,0.094998,20.379993,48.515518,5600.0001668741,
7.47,13.596066,0.094284,20.784729,48.530777,5600.0673615004,
7.5,13.679407,0.093246,21.194725,48.537605,5600.0673615006,
7.53,13.762748,0.092773,21.604721,48.544426,5600.0001668741,
7.56,13.846088,0.091933,22.019821,48.542503,5600.0673615006,
7.59,13.929429,0.09149,22.437977,48.53492,5600.1345561269,
7.62,14.012771,0.091406,22.856136,48.527336,5600.0001668741,
7.65,14.096111,0.090937,23.278431,48.511658,5600.0673615004,
7.68,14.179452,0.091029,23.700729,48.495979,5600.0673615006,
7.71,14.262793,0.090665,24.127438,48.470993,5600.0001668741,
7.74,14.346133,0.090971,24.55415,48.446014,5600.0673615006,
7.77,14.429474,0.090769,24.985218,48.411003,5600.0673615004,
7.8,14.512815,0.091087,25.418854,48.3694,5600.0001668741,
7.83,14.596155,0.091782,25.852489,48.327797,5600.0673615006,
7.86,14.679496,0.091936,26.289486,48.276817,5600.0001668741,
7.89,14.762836,0.092743,26.726486,48.225838,5600.0673615006,
7.92,14.846177,0.092943,27.167004,48.163918,5600.1345561269,
7.95,14.929519,0.094002,27.607525,48.101997,5599.9329722476,
7.98,15.012858,0.094379,28.051369,48.028091,1738.5937643113,
8.01,15.038732,0.095533,28.495541,47.947006,1738.5265696849,
8.04,15.064605,0.09698,28.939709,47.865921,-6542.6063864674,
8.07,14.967237,0.098445,29.377338,47.775398,-6542.6063864675,
8.1,14.869869,0.09978,29.81496,47.684875,-8609.9834579123,
8.13,14.741734,0.101545,30.242832,47.584274,-8907.4540691284,
8.16,14.609172,0.103327,30.66404,47.477737,-8907.4540691283,
8.19,14.47661,0.104775,31.085243,47.371201,-8999.2419288351,
8.22,14.342682,0.106701,31.496754,47.256378,-8999.1747342086,
8.25,14.208755,0.108226,31.90826,47.141556,-9121.1329811834,
8.28,14.073013,0.110318,32.30867,47.017807,-9120.9985919305,
8.31,13.937273,0.111956,32.70908,46.894058,-9140.1490604637,
8.34,13.801248,0.11419,33.097862,46.761497,-9084.4447151512,
8.37,13.666052,0.116414,33.479191,46.623589,-9084.3775205249,
8.4,13.530857,0.118284,33.860516,46.485687,-8935.205449845,
8.43,13.397882,0.120662,34.231457,46.340561,-8935.0710605921,
8.46,13.264909,0.122615,34.602398,46.195435,-8882.3232788427,
8.49,13.132721,0.125148,34.96175,46.042648,-8882.3232788427,
8.52,13.000533,0.127213,35.321098,45.889862,-8404.0319278971,
8.55,12.875463,0.129854,35.668716,45.729393,-8404.0991225235,
8.58,12.750392,0.132069,36.016335,45.568932,-8404.0991225235,
8.61,12.625321,0.134858,36.351944,45.401108,-8403.9647332706,
8.64,12.500252,0.137154,36.68755,45.233284,-7790.948156328,
8.67,12.384306,0.139998,37.011417,45.058243,-7790.8809617016,
8.7,12.268361,0.142433,37.335285,44.883202,-7505.1022154847,
8.73,12.156669,0.145384,37.647415,44.701187,-7505.1022154849,
8.76,12.044977,0.14788,37.959545,44.51918,-7173.7655125466,
8.79,11.938216,0.150884,38.259987,44.330421,-7173.6983179204,
8.82,11.831456,0.153443,38.560425,44.141663,-6499.2658524185,
8.85,11.734733,0.156457,38.849468,43.946205,-6499.333047045,
8.88,11.638009,0.159096,39.138508,43.750748,-6321.3344816256,
8.91,11.543934,0.162171,39.416035,43.548866,-6321.2672869992,
8.94,11.44986,0.164797,39.693554,43.346992,-5500.8880928862,
8.97,11.367995,0.167798,39.959942,43.138611,-5500.7537036335,
