time[sec],velocity[sec],angle[rad],x[m],y[m]
8.55,8.175292,0,0,86.622375
8.58,8.000496,0,0,86.866859
8.61,7.825701,0,0,87.111343
8.64,7.659361,0,0,87.334518
8.67,7.493022,0,0,87.557693
8.7,7.326684,0,0,87.780876
8.73,7.160347,0,0,88.004051
8.76,7.000714,0,0,88.205856
8.79,6.841083,0,0,88.407661
8.82,6.681451,0,0,88.609474
8.85,6.521821,0,0,88.811279
8.88,6.362191,0,0,89.013084
8.91,6.208248,0,0,89.189789
8.94,6.054306,0,0,89.366493
8.97,5.900364,0,0,89.543198
9,5.746423,0,0,89.719902
9.03,5.592483,0,0,89.896606
9.06,5.441864,0,0,90.048126
9.09,5.291246,0,0,90.199646
9.12,5.140628,0,0,90.351166
9.15,4.990011,0,0,90.502686
9.18,4.839394,0,0,90.654205
9.21,4.688777,0,0,90.805725
9.24,4.539782,0,0,90.927032
9.27,4.390786,0,0,91.04834
9.3,4.241791,0,0,91.169647
9.33,4.092796,0,0,91.290955
9.36,3.943801,0,0,91.412262
9.39,3.794806,0,0,91.533569
9.42,3.645813,0,0,91.654877
9.45,3.49682,0,0,91.776176
9.48,3.347987,0,0,91.853333
9.51,3.199155,0,0,91.930489
9.54,3.050322,0,0,92.007645
9.57,2.90149,0,0,92.084801
9.6,2.752658,0,0,92.161957
9.63,2.603826,0,0,92.239113
9.66,2.454994,0,0,92.316269
9.69,2.306162,0,0,92.393425
9.72,2.157331,0,0,92.470573
9.75,2.008501,0,0,92.547729
9.78,1.859671,0,0,92.624878
9.81,1.710839,0,0,92.653824
9.84,1.562008,0,0,92.68277
9.87,1.413176,0,0,92.711716
9.9,1.264345,0,0,92.740662
9.93,1.115514,0,0,92.769608
9.96,0.966683,0,0,92.798553
9.99,0.817853,0,0,92.827499
10.02,0.669022,0,0,92.856445
10.05,0.520192,0,0,92.885391
10.08,0.371362,0,0,92.914345
10.11,0.222533,0,0,92.943291
10.14,0.073705,0,0,92.972244
