time [sec],velocity [m/s],angle [rad],x[m],y [m],Torque,,,
3.209997,8.917374,-1.08775E-005,12.281246,7.368744,5599.9329722476,,,2581.3721025641
3.239997,9.000713,-1.47953E-005,12.50581,7.503479,5600.0001668742,,,2581.4030769231
3.269997,9.084053,-1.85908E-005,12.742939,7.645752,5600.0673615004,,,2581.434051282
3.299997,9.167394,-2.15753E-005,12.980068,7.788025,5599.9329722477,,,2581.3721025641
3.329997,9.250733,-1.22429E-005,13.217197,7.930298,5600.0673615004,,,2581.434051282
3.359997,9.334074,-1.61351E-005,13.454327,8.072571,5600.0001668742,,,2581.4030769231
3.389997,9.417414,-2.00719E-005,13.691456,8.214844,5599.9329722476,,,2581.3721025641
3.419997,9.500753,-2.38138E-005,13.939163,8.363464,5600.0001668741,,,2581.4030769231
3.449997,9.584093,-1.90022E-005,14.186867,8.512085,5600.0001668742,,,2581.4030769231
3.479997,9.667433,-1.41906E-005,14.43457,8.660736,5599.9329722476,,,2581.3721025641
3.509997,9.750772,-9.37905E-006,14.682281,8.809357,5600.0673615006,,,2581.4340512821
3.539997,9.834113,-4.51162E-006,14.929985,8.958008,5600.0001668741,,,2581.4030769231
3.569997,9.917453,0,15.188148,9.112915,5600.0001668741,,,2581.4030769231
3.599997,10.000793,0,15.446312,9.267822,5599.9329722477,,,2581.3721025641
3.629997,10.084132,0,15.704483,9.422729,5600.0001668741,,,2581.4030769231
3.659997,10.167472,0,15.962646,9.577637,5600.0673615006,,,2581.4340512821
3.689997,10.250813,1.28835E-006,16.220818,9.732513,5599.9329722476,,,2581.3721025641
3.719997,10.334152,0,16.489464,9.893707,5600.0001668741,,,2581.4030769231
3.749997,10.417492,0,16.758102,10.054901,5600.0673615006,,,2581.4340512821
3.779997,10.500833,0,17.026749,10.216095,5599.9329722477,,,2581.3721025641
3.809997,10.584172,1.08775E-006,17.295387,10.377258,5600.0001668741,,,2581.4030769231
3.839997,10.667512,0,17.564034,10.538452,5600.0001668741,,,2581.4030769231
3.869997,10.750852,1.06624E-006,17.843239,10.705963,5599.9329722477,,,2581.3721025641
3.899997,10.834191,0,18.122437,10.873474,5600.0001668741,,,2581.4030769231
3.929997,10.917531,0,18.401642,11.041016,5600.0673615004,,,2581.434051282
3.959997,11.000872,0,18.68084,11.208527,5599.9329722477,,,2581.3721025641
3.989997,11.084211,0,18.96862,11.381195,5600.0001668741,,,2581.4030769231
4.019997,11.167551,5.11859E-006,19.256401,11.553864,5600.0673615006,,,2581.4340512821
4.049997,11.250892,1.08035E-005,19.544182,11.726532,5600.0001668741,,,2581.4030769231
4.079997,11.334232,1.65426E-005,19.831963,11.8992,5600.0673615006,,,2581.4340512821
4.109997,11.417573,2.22817E-005,20.119751,12.071869,5600.0673615004,,,2581.434051282
4.139997,11.500914,0.000016059,20.417976,12.250793,5600.0001668741,,,2581.4030769231
4.169998,11.584254,9.40128E-006,20.716202,12.429718,5600.0673615006,,,2581.4340512821
4.199998,11.667595,1.0132E-006,21.01442,12.608643,5600.0673615004,,,2581.434051282
4.229998,11.750936,-7.47058E-006,21.312645,12.787598,5600.0001668741,,,2581.4030769231
4.259998,11.834276,-1.40318E-005,21.619347,12.971619,5600.0673615006,,,2581.4340512821
4.289999,11.917617,-1.26444E-005,21.926048,13.15564,5600.0001668741,,,2581.4030769231
4.319999,12.000957,-1.13524E-005,22.23275,13.339661,5600.0673615006,,,2581.4340512821
4.349999,12.084298,-1.17256E-005,22.539459,13.523682,5600.0001668741,,,2581.4030769231
4.379999,12.167638,-1.20691E-005,22.854607,13.712769,5600.0001668741,,,2581.4030769231
4.409999,12.250978,-1.30753E-005,23.169754,13.901855,5600.0673615006,,,2581.4340512821
4.44,12.334319,-1.40286E-005,23.484894,14.090942,5600.0673615004,,,2581.434051282
4.47,12.41766,-1.50877E-005,23.800041,14.280029,5600.0001668741,,,2581.4030769231
4.5,12.501,-4.49432E-006,24.123634,14.474182,5600.0673615006,,,2581.4340512821
4.53,12.584341,-3.54761E-006,24.44722,14.668335,5600.0673615004,,,2581.434051282
4.56,12.667682,-2.60091E-006,24.770813,14.862488,5600.0001668742,,,2581.4030769231
4.590001,12.751022,-1.7068E-006,25.094406,15.056641,5600.0673615004,,,2581.434051282
4.620001,12.834363,0,25.42646,15.255859,5600.0673615006,,,2581.4340512821
4.650001,12.917704,0,25.758514,15.455109,5600.0001668741,,,2581.4030769231
4.680001,13.001044,1.38614E-006,26.090569,15.654327,5600.0673615004,,,2581.434051282
4.710001,13.084385,2.43071E-006,26.422623,15.853577,5600.0673615006,,,2581.4340512821
4.740002,13.167726,3.55457E-006,26.763176,16.057922,5600.0001668741,,,2581.4030769231
4.770002,13.251066,1.32453E-006,27.103729,16.262238,5600.0673615006,,,2581.4340512821
4.800002,13.334407,0,27.44429,16.466583,5600.0001668741,,,2581.4030769231
4.830002,13.417747,-3.16953E-006,27.791412,16.674866,5600.0673615004,,,2581.434051282
4.860003,13.501088,-3.53058E-006,28.138542,16.883148,5600.0673615006,,,2581.4340512821
4.890003,13.584429,-3.94318E-006,28.485672,17.091431,5600.0673615006,,,2581.4340512821
4.920003,13.66777,-4.30422E-006,28.832802,17.299683,5600.0001668741,,,2581.4030769231
4.950003,13.75111,-4.68442E-006,29.188133,17.512878,5600.0673615004,,,2581.434051282
4.980003,13.834451,-1.18556E-005,29.543465,17.726074,5600.0001668741,,,2581.4030769231
5.010004,13.917791,-1.89756E-005,29.898804,17.93927,5600.0673615006,,,2581.4340512821
5.040004,14.001132,-1.30904E-005,30.260742,18.156433,5600.0673615004,,,2581.434051282
5.070004,14.084473,-1.83335E-006,30.622681,18.373627,5600.0001668742,,,2581.4030769231
5.100004,14.167813,9.47425E-006,30.984619,18.59079,5600.0673615004,,,2581.434051282
5.130004,14.251154,2.06804E-005,31.346565,18.807983,5600.0001668741,,,2581.4030769231
5.160005,14.334494,3.00449E-005,31.716728,19.03006,5600.0001668741,,,2581.4030769231
5.190005,14.417834,2.31034E-005,32.086891,19.252167,5600.0673615006,,,2581.4340512821
5.220005,14.501175,1.61621E-005,32.457054,19.474243,5600.0001668741,,,2581.4030769231
5.250005,14.584515,0,32.833786,19.700287,5600.0001668741,,,2581.4030769231
5.280005,14.667855,6.59316E-006,33.21051,19.926331,5600.0673615006,,,2581.4340512821
5.310006,14.751196,1.33834E-005,33.587242,20.152374,5600.1345561269,,,2581.465025641
5.340006,14.834538,1.84625E-005,33.963974,20.378387,5599.9329722477,,,2581.3721025641
5.370006,14.917877,2.34618E-005,34.349083,20.609436,5600.0673615004,,,2581.434051282
