time[sec],velocity[sec],angle[rad],x[m],y[m],
6.78,5,0.03446,0.047119,29.374678,
6.81,5,0.036124,0.051607,29.524611,
6.84,5,0.037662,0.057484,29.674494,
6.87,5,0.03972,0.06336,29.824381,
6.9,5,0.041623,0.069237,29.974268,
6.93,5,0.043382,0.075115,30.124151,
6.96,5,0.045007,0.082584,30.273962,
6.99,5,0.047181,0.090052,30.423777,
7.02,5,0.04919,0.097521,30.573591,
7.05,5,0.051048,0.104988,30.723406,
7.08,5,0.052764,0.11426,30.873117,
7.11,5,0.05505,0.123531,31.022829,
7.14,5,0.057166,0.132803,31.172541,
7.17,5,0.059121,0.142075,31.322252,
7.2,5,0.060927,0.15337,31.471823,
7.23,5,0.063334,0.164665,31.621393,
7.26,5,0.065561,0.175961,31.770964,
7.29,5,0.067619,0.187256,31.920538,
7.32,5,0.069522,0.200804,32.069923,
7.35,5,0.072055,0.214352,32.219307,
7.38,5,0.074399,0.2279,32.36869,
7.41,5,0.076566,0.241447,32.518074,
7.44,5,0.078569,0.257488,32.667206,
7.47,5,0.081238,0.273527,32.816345,
7.5,5,0.083706,0.289568,32.965477,
7.53,5,0.085988,0.305607,33.114609,
7.56,5,0.088096,0.324389,33.26342,
7.59,5,0.09091,0.34317,33.412231,
7.62,5,0.093511,0.361952,33.56105,
7.65,5,0.095916,0.380733,33.709862,
7.68,5,0.098138,0.402517,33.858269,
7.71,5,0.101098,0.424301,34.006668,
7.74,5,0.103836,0.446085,34.155067,
7.77,5,0.106367,0.467869,34.303474,
7.8,5,0.108706,0.492924,34.451355,
7.83,5,0.111823,0.517979,34.599243,
7.86,5,0.114706,0.543036,34.747124,
7.89,5,0.117371,0.568092,34.895012,
7.92,5,0.119834,0.596699,35.042244,
7.95,5,0.123107,0.625305,35.189484,
7.98,5,0.126134,0.653912,35.336723,
8.01,5,0.128933,0.68252,35.483963,
8.04,5,0.131519,0.714964,35.630402,
8.07,5,0.134954,0.747408,35.77684,
8.1,5,0.138132,0.779852,35.923279,
8.13,5,0.14107,0.812296,36.069717,
8.16,5,0.143784,0.848869,36.215179,
8.19,5,0.147361,0.885445,36.360641,
8.22,5,0.150669,0.922018,36.506104,
8.25,5,0.153726,0.958591,36.651573,
8.28,5,0.15655,0.999586,36.795853,
8.31,5,0.160265,1.040581,36.94014,
8.34,5,0.1637,1.081575,37.084419,
8.37,5,0.166874,1.122572,37.228699,
8.4,5,0.169807,1.168276,37.371567,
8.43,5,0.173631,1.21398,37.514427,
8.46,5,0.177168,1.259684,37.657295,
8.49,5,0.180436,1.30929,37.798836,
8.52,5,0.184317,1.358896,37.940384,
8.55,5,0.187907,1.408503,38.081924,
8.58,5,0.191226,1.458111,38.223473,
8.61,5,0.194287,1.512688,38.363174,
8.64,5,0.198157,1.567263,38.502869,
8.67,5,0.201736,1.621838,38.64257,
8.7,5,0.205043,1.676413,38.782272,
8.73,5,0.208093,1.736357,38.919754,
8.76,5,0.211939,1.796301,39.057243,
8.79,5,0.215496,1.856247,39.194725,
8.82,5,0.218779,1.916191,39.332214,
8.85,5,0.221807,1.981728,39.467133,
8.88,5,0.225558,2.047262,39.602058,
8.91,5,0.229026,2.112797,39.736977,
8.94,5,0.232227,2.182814,39.869614,
8.97,5,0.23584,2.252831,40.002243,
9,5,0.239181,2.322847,40.13488,
9.03,5,0.242269,2.392864,40.267509,
9.06,5,0.245112,2.468449,40.397049,
9.09,5,0.248437,2.544031,40.526588,
9.12,5,0.251511,2.619614,40.65612,
9.15,5,0.254349,2.695196,40.78566,
9.18,5,0.256959,2.776588,40.911636,
9.21,5,0.259933,2.857981,41.037613,
9.24,5,0.262683,2.939373,41.163589,
9.27,5,0.265219,3.020763,41.289574,
9.3,5,0.267551,3.107962,41.411621,
9.33,5,0.270098,3.195158,41.533669,
9.36,5,0.272452,3.282354,41.655716,
9.39,5,0.27462,3.374029,41.774406,
9.42,5,0.27674,3.465704,41.893105,
9.45,5,0.278704,3.557379,42.011795,
9.48,5,0.280513,3.649052,42.130493,
9.51,5,0.282171,3.746067,42.244858,
9.54,5,0.283701,3.843082,42.359215,
9.57,5,0.285116,3.940098,42.473579,
9.6,5,0.286419,4.037113,42.587936,
9.63,5,0.28761,4.13945,42.697571,
9.66,5,0.288511,4.241787,42.807205,
9.69,5,0.289346,4.344124,42.91684,
9.72,5,0.29011,4.446461,43.026466,
9.75,5,0.290805,4.553871,43.131142,
9.78,5,0.29105,4.661282,43.235817,
9.81,5,0.291276,4.768692,43.340492,
9.84,5,0.291481,4.876101,43.445168,
9.87,5,0.291657,4.988266,43.544731,
9.9,5,0.291244,5.100431,43.644302,
9.93,5,0.290866,5.212595,43.743866,
9.96,5,0.29051,5.324759,43.84343,
9.99,5,0.290172,5.441328,43.937805,
10.02,5,0.287116,5.557896,44.032181,
10.05,5,0.284295,5.674463,44.126556,
10.08,5,0.281687,5.791031,44.220924,
10.11,5,0.27927,5.911184,44.310684,
10.14,5,0.278098,6.031338,44.400444,
10.17,5,0.277018,6.151491,44.490204,
10.2,5,0.276012,6.274542,44.575943,
10.23,5,0.274591,6.397593,44.661682,
10.26,5,0.273281,6.520643,44.747414,
10.29,5,0.272065,6.643694,44.833145,
10.32,5,0.270936,6.770086,44.913902,
10.35,5,0.269032,6.896477,44.994659,
10.38,5,0.267271,7.022869,45.075417,
10.41,5,0.265643,7.15168,45.152245,
10.44,5,0.263365,7.280491,45.229073,
10.47,5,0.261263,7.409302,45.305901,
10.5,5,0.25932,7.538109,45.382721,
10.53,5,0.257521,7.669659,45.454773,
10.56,5,0.254886,7.801205,45.526825,
10.59,5,0.25245,7.932751,45.598877,
10.62,5,0.250202,8.066288,45.66716,
10.65,5,0.247173,8.199825,45.735443,
10.68,5,0.244382,8.333363,45.803719,
10.71,5,0.2418,8.4669,45.872002,
10.74,5,0.239414,8.602596,45.935883,
10.77,5,0.235925,8.738293,45.999771,
10.8,5,0.232707,8.873985,46.063652,
10.83,5,0.229736,9.009678,46.127541,
10.86,5,0.226991,9.147316,46.187141,
10.89,5,0.223283,9.284954,46.246735,
10.92,5,0.219865,9.422592,46.306335,
10.95,5,0.21671,9.560226,46.365929,
10.98,5,0.213795,9.699547,46.421486,
11.01,5,0.210083,9.838867,46.477051,
11.04,5,0.20666,9.978188,46.532608,
11.07,5,0.203499,10.117508,46.588173,
11.1,5,0.200588,10.258286,46.639938,
11.13,5,0.197026,10.399063,46.691704,
11.16,5,0.193743,10.539841,46.743469,
11.19,5,0.190716,10.680614,46.795235,
11.22,5,0.187921,10.822659,46.843414,
11.25,5,0.184611,10.964703,46.891602,
11.28,5,0.18156,11.106747,46.939781,
11.31,5,0.178751,11.248791,46.987968,
11.34,5,0.176158,11.391945,47.032745,
11.37,5,0.173124,11.535099,47.077522,
11.4,5,0.170326,11.678249,47.122299,
11.43,5,0.167749,11.8214,47.167068,
11.46,5,0.165368,11.965527,47.208595,
11.49,5,0.162624,12.109653,47.250122,
11.52,5,0.160096,12.25378,47.291641,
11.55,5,0.157766,12.397907,47.333168,
11.58,5,0.155619,12.542034,47.374687,
11.61,5,0.153638,12.68721,47.412407,
11.64,5,0.151234,12.832386,47.450127,
11.67,5,0.149024,12.977562,47.487846,
11.7,5,0.146985,13.122734,47.525574,
11.73,5,0.145102,13.268654,47.560303,
11.76,5,0.142973,13.414574,47.595032,
11.79,5,0.141008,13.560493,47.629761,
11.82,5,0.139195,13.706413,47.664482,
11.85,5,0.137524,13.852985,47.696335,
11.88,5,0.135635,13.999557,47.728188,
11.91,5,0.133896,14.146126,47.76004,
11.94,5,0.132291,14.292694,47.791885,
11.97,5,0.130811,14.439262,47.823738,
12,5,0.129446,14.586521,47.852249,
12.03,5,0.127837,14.73378,47.88076,
12.06,5,0.126355,14.881039,47.909271,
12.09,5,0.124989,15.028297,47.937782,
12.12,5,0.123732,15.175556,47.966286,
12.15,5,0.122571,15.323429,47.991463,
12.18,5,0.121199,15.471298,48.01664,
12.21,5,0.119933,15.619167,48.041817,
12.24,5,0.118769,15.76704,48.066994,
12.27,5,0.117695,15.915333,48.089539,
12.3,5,0.116496,16.063625,48.112083,
12.33,5,0.115387,16.211918,48.134628,
12.36,5,0.114365,16.360207,48.157173,
12.39,5,0.113423,16.508495,48.179718,
12.42,5,0.112553,16.657223,48.199188,
12.45,5,0.111551,16.80595,48.218651,
12.48,5,0.110625,16.954678,48.238121,
12.51,5,0.10977,17.103405,48.257584,
12.54,5,0.108981,17.252132,48.277046,
12.57,5,0.108257,17.401234,48.293434,
12.6,5,0.107429,17.550335,48.309822,
12.63,5,0.106661,17.699436,48.32621,
12.66,5,0.105954,17.848537,48.342598,
12.69,5,0.105299,17.997887,48.356499,
12.72,5,0.104574,18.147236,48.370399,
12.75,5,0.103909,18.296585,48.384293,
12.78,5,0.103292,18.445934,48.398193,
12.81,5,0.102725,18.595284,48.412086,
12.84,5,0.102199,18.744877,48.423088,
12.87,5,0.10163,18.894466,48.43409,
12.9,5,0.101103,19.044056,48.445084,
12.93,5,0.100613,19.193645,48.456078,
12.96,5,0.100164,19.343235,48.467079,
12.99,5,0.099752,19.493015,48.475136,
13.02,5,0.099283,19.642796,48.483192,
13.05,5,0.09885,19.792576,48.491249,
13.08,5,0.098454,19.942356,48.499313,
13.11,5,0.09809,20.092133,48.50737,
13.14,5,0.097749,20.242043,48.512512,
13.17,5,0.097397,20.391953,48.517654,
13.2,5,0.097074,20.541862,48.522797,
13.23,5,0.096777,20.691769,48.527939,
13.26,5,0.096499,20.841675,48.533081,
13.29,5,0.096243,20.991657,48.535324,
13.32,5,0.095985,21.14164,48.53756,
13.35,5,0.095745,21.291618,48.539803,
13.38,5,0.095524,21.441597,48.542038,
13.41,5,0.09532,21.591576,48.544281,
13.44,5,0.09513,21.741573,48.543625,
13.47,5,0.094964,21.891567,48.542969,
13.5,5,0.094811,22.041565,48.542313,
13.53,5,0.094668,22.191559,48.541656,
13.56,5,0.094534,22.341553,48.541,
13.59,5,0.094412,22.491508,48.537453,
13.62,5,0.094326,22.641464,48.533905,
13.65,5,0.094249,22.79142,48.530357,
13.68,5,0.094176,22.941376,48.52681,
13.71,5,0.094106,23.091328,48.523254,
13.74,5,0.094045,23.241188,48.5168,
13.77,5,0.094038,23.391048,48.510345,
13.8,5,0.094031,23.540905,48.503891,
13.83,5,0.094023,23.690762,48.497437,
13.86,5,0.094014,23.840618,48.490982,
13.89,5,0.094009,23.990322,48.481606,
13.92,5,0.094077,24.140026,48.472229,
13.95,5,0.094141,24.28973,48.462852,
13.98,5,0.0942,24.439434,48.453484,
14.01,5,0.094249,24.589138,48.444107,
14.04,5,0.094297,24.738628,48.431786,
14.07,5,0.094435,24.888119,48.419464,
14.1,5,0.094565,25.037609,48.407143,
14.13,5,0.094684,25.187099,48.394821,
14.16,5,0.094794,25.336586,48.382507,
14.19,5,0.094892,25.485802,48.36721,
14.22,5,0.095099,25.635017,48.351913,
14.25,5,0.095289,25.784233,48.336609,
14.28,5,0.095467,25.933449,48.321312,
14.31,5,0.095627,26.082661,48.306007,
14.34,5,0.095775,26.231537,48.287689,
14.37,5,0.096041,26.380413,48.269371,
14.4,5,0.096288,26.529285,48.251053,
14.43,5,0.096515,26.678158,48.232742,
14.46,5,0.096724,26.827034,48.214424,
14.49,5,0.096915,26.975502,48.193047,
